label,type,subtype,item,condition,group,sentence,alternative
fill_filler_101,fill,Filler,101,filler,,在 旅馆 写 剧本 的 那段 时间 日子 过得 很 惬意。,X-X-X 似地 句 愤怒 个 烙印 必须 圈儿 贷款 呢 脂肪。
fill_filler_102,fill,Filler,102,filler,,这种 不能 规格化 的 产品 本来 就是 手工艺 时代 的 特色。,X-X-X 似地 郭沫若 我 甚至 恢复 问题 洋铁桶 告诉 他 居住。
fill_filler_103,fill,Filler,103,filler,,比利时 酿制 啤酒 的 历史 很久 从 罗马帝国 时代 就 开始 了。,X-X-X 告诫 慌乱 我 怎么 闪烁 两 刑事诉讼 告诉 种 技术 我。
fill_filler_104,fill,Filler,104,filler,,如果 要 选 一种 鸡尾酒 来 代表 寂寞 的话 我会 选 马丁尼。,X-X-X 个 唉 检测 秦始皇 小 矛盾 偷偷 避免 艰苦 亿 饲养员。
fill_filler_105,fill,Filler,105,filler,,这个 我 心爱 的 酒馆 后来 因为 生意 太差 关门了。,X-X-X 种 铁匠 说 牵涉 矛盾 问题 掠夺 教练 冯玉祥。
fill_filler_106,fill,Filler,106,filler,,雪莉酒 是用 晒干的 葡萄 酿制成的 在 酿制 过程中 要 加入 白兰地。,X-X-X 邯郸 视网膜 惩罚 艰苦奋斗 我 贺诚 蒋介石 那 广州 岂不是。
fill_filler_107,fill,Filler,107,filler,,中国人 喜欢 补身体 可能 有 世界上 最多种 的 补酒。,X-X-X 位置 甲状腺 革命 我 徐悲鸿 障碍物 我 纵横。
fill_filler_108,fill,Filler,108,filler,,香槟 经常 当作 开胃酒 或 高级 宴会中 的 酒。,X-X-X 回答 紧紧 郭沫若 呢 辐射 笑嘻嘻 我 懂。
fill_filler_109,fill,Filler,109,filler,,波尔多 是 法国 西南部 重要的 都市 以 美食 闻名。,X-X-X 你 习惯 我们俩 啄木鸟 琢磨 呢 适宜 芭蕾。
fill_filler_110,fill,Filler,110,filler,,意大利 葡萄酒 的 产量 是 世界 第一 出口量 也是 世界 第一。,X-X-X 犯错误 把 避免 你 影响 你们 邓颖超 思想 而且 你们。
fill_filler_111,fill,Filler,111,filler,,懂 外文 的 助手们 捧着 原文 把 文章 的 意思 口述 给他听,X-X-X 抨击 种 柬埔寨 傀儡 叫唤 两 却是 种 她们 傀儡 顽固派。
fill_filler_112,fill,Filler,112,filler,,为了 适应 国内 消费者 的 需求 口味 势必 要 求新 求变。,X-X-X 似地 结束 怎么办 我 并非 慌忙 埋怨 那 爹妈 姊妹。
fill_filler_113,fill,Filler,113,filler,,可惜 这几本 文集 不知 谁 借去了 刚才 还 找得 心急如焚。,X-X-X 椭圆形 轰炸 态度 类 段祺瑞 溶液 与 耷拉 血液循环。
fill_filler_114,fill,Filler,114,filler,,捧着 一本 干干凈凈 的 书 自己的 心情 也 立即 变得 舒服了。,X-X-X 芭蕾 奴隶社会 他 层 需要量 连续 年 检查 凳子 马寅初。
fill_filler_115,fill,Filler,115,filler,,住 医院 对 一个 旅行者 来说 可能 是 心理 反差 最大的 一件事。,X-X-X 描写 她 什么 朱占标 世纪 组织 我 等等 哎哟 李鸿章 李宗仁。
fill_filler_116,fill,Filler,116,filler,,只要 按 一个键 两三 分钟 之后 就能 享用 一道 美味 可口的 微波 菜肴。,X-X-X 既 硫酸铜 踌躇 政权 政府 琢磨 山路 损害 蝌蚪 叶倩倩 锣鼓 睁大。
fill_filler_117,fill,Filler,117,filler,,只有 历经 沧桑 的 老人 才能 领悟 真正的 人生 哲理。,X-X-X 邮局 诬蔑 把 负责 联系 火灾 乒乓球 剥削 匆忙。
fill_filler_118,fill,Filler,118,filler,,大量 倾销 便宜 农产品 使得 农地 废耕 以及 农村 破产。,X-X-X 似地 伙伴 怎么办 哥哥 呆呆 恰巧 怎么 北京 哎呀。
fill_filler_119,fill,Filler,119,filler,,巴黎人 在 咖啡厅 聊天 纽约人 在 咖啡厅 用 手机。,X-X-X 我 段祺瑞 邯郸 卵细胞 种 仅仅是 呢 增添。
fill_filler_120,fill,Filler,120,filler,,每天 都 分秒必争 的 现代人 有时 忙起来 连 吃饭 也 没 时间。,X-X-X 年 北洋军阀 种 碳酸钠 掌握 谭嗣同 声 彼此 种 吗 根据。
fill_filler_121,fill,Filler,121,filler,,在 一月 五日 这天 一波 入冬后 最 强烈的 大陆 冷气团 果然 袭来。,X-X-X 竭力 泛滥 纯粹 惋惜 碳酸钠 吗 肖武斌 描写 我们俩 脑袋 邯郸。
fill_filler_122,fill,Filler,122,filler,,由于在 中国 挑不到 他们 想要 的 石头 还 特别 进口 一万颗 鹅卵石。,X-X-X 研究 硝酸钾 研究 插嘴 我 鼓励 看 艺术 灵活 笑眯眯 感兴趣。
fill_filler_123,fill,Filler,123,filler,,中国 与 世界 各国 一样 都 面临 新一波 的 全球化。,X-X-X 种 要求 充满 教育 种 妹妹 硝酸钾 他 为什么。
fill_filler_124,fill,Filler,124,filler,,长达 十小时 的 手术 终于 在 专家们 协力下 顺利 结束。,X-X-X 甲状腺 我 湖南 苏联 你 什么样 石灰岩 区域 队伍。
fill_filler_125,fill,Filler,125,filler,,政府 乐意 见到 国内 的 生物产业 越来越 蓬勃。,X-X-X 板凳 石油 表演 我 一百五十 蒋介石 杏仙。
fill_filler_126,fill,Filler,126,filler,,当 跨国 企业 越成功 母国 对 其 约束 的 法律性 和 道德性 越弱。,X-X-X 悲痛 提高 赤裸裸 嘻嘻 你 几 蚂蚁 我 赵紫阳 你 阿根廷 螳螂。
fill_filler_127,fill,Filler,127,filler,,时至 今日 拜 科学 进步 之赐 长生 不死 已经 不再 是 大家 追求的 目标。,X-X-X 厉害 唔 必须 介绍 膀胱 耷拉 钞票 影响 颜色 也 分析 售货员 介绍。
fill_filler_128,fill,Filler,128,filler,,中国人 使用 胎盘 的 历史 已有 千年 以上。,X-X-X 基础 乃是 他 怎么 肝脏 纠缠 矛盾。
fill_filler_129,fill,Filler,129,filler,,研究 显示 长期 使用 胎盘素 确实 能够 让 女性 肌肤 美白。,X-X-X 途径 思维 甚至 河北省 欢迎 群众 吧 罢了 敦煌 蟋蟀。
fill_filler_130,fill,Filler,130,filler,,若 细究 世界 各国的 饮食 历史 其实 不难 发现 汤的 重要性。,X-X-X 傀儡 要求 手榴弹 亏损 怎么 找到 奶奶 艺术 绒毛 太平洋。
fill_filler_131,fill,Filler,131,filler,,想 做好 一碗 味美 汤鲜 的 汤品 高汤 绝对 是 关键 因素。,X-X-X 各项 叛徒 匆匆 此项 我 吩咐 阻挡 负责 我 渐渐 怎样。
fill_filler_132,fill,Filler,132,filler,,烹煮 高汤 的 要诀 在于 要以 同锅 滚水 烫煮 所有的 食材。,X-X-X 摧毁 我 倘若 状况 深圳 娃娃 忧愁 军舰 胡耀邦 牵涉。
fill_filler_133,fill,Filler,133,filler,,店内 以 木质 桌椅 地板 为主 摆设 十分 简洁 纯朴。,X-X-X 呢 咱俩 嘀咕 俘虏 犯罪 死死 解决 喊声 溃疡。
fill_filler_134,fill,Filler,134,filler,,这种 特殊 压烤 的 制作 方式 使 面包 外皮 焦脆 飘香。,X-X-X 咱们 林瑛 说 罢了 告诉 呢 敏锐 巡逻 琢磨 窟窿。
fill_filler_135,fill,Filler,135,filler,,二次 世界 大战 后 全球 经济 重建 财富 也 重新 分配。,X-X-X 要求 呼吁 们 朦胧 什么 针灸 拒绝 你 文艺 爸爸。
fill_filler_136,fill,Filler,136,filler,,十年前 国内 出现过 数十个 电影城 从 台北 台中 到 台南 高雄。,X-X-X 刺激 蒸馏水 段祺瑞 李时珍 她 欺侮 刑罚 种 迂回 凶狠。
fill_filler_137,fill,Filler,137,filler,,这两个 城市 全部 都有 过去 沿海 城市 开发的 影子。,X-X-X 掌握 困难 咆哮 怎么 损害 掌握 黑猩猩 推翻。
fill_filler_138,fill,Filler,138,filler,,这么多的 投资 终究 要 面临 生产 效率 和 回报 的 问题。,X-X-X 喜欢 摹仿 那 四川 情况 爱情 个 勇敢 我 什么。
fill_filler_139,fill,Filler,139,filler,,从 科技 产业 到 传统 产业 全部 都 需要 投入 活力 和 配套 措施。,X-X-X 贯彻 恐怕 她 似乎 恐怕 告诉 两 问题 纷纷 束缚 我 蜜蜂 忽然。
fill_filler_140,fill,Filler,140,filler,,美白 保养品 不一定 是 同一 品牌 整套 使用 效果 最好。,X-X-X 孙悟空 党中央 了 贡献 踊跃 凄惨 意义 北京 避免。
fill_RCfiller_201,fill,Filler_GibsonWu,201,RCfiller,,昨天 被 驴子 踢 的 那匹 马 是 农夫 要卖掉 的。,X-X-X 并 圈儿 幢 种 筹建 入 种 操纵 碳酸钠 种。
fill_RCfiller_202,fill,Filler_GibsonWu,202,RCfiller,,唱片公司 今天 拒绝 和 批评 制作人 的 那位 音乐家 签约。,X-X-X 似地 肌肉 种 颜色 气呼呼 种 纷纷 胡耀邦 藻类。
fill_RCfiller_203,fill,Filler_GibsonWu,203,RCfiller,,刚才 被 狗 追 的 那只 猫 是 邻居 养 的。,X-X-X 呀 吨 芽 种 债券 移 种 奠定 吨 为。
fill_RCfiller_204,fill,Filler_GibsonWu,204,RCfiller,,哈佛大学 上个月 聘用了 获得 诺贝尔奖 的 那个 生物学家 为 正教授。,X-X-X 肖武斌 水溶液 阶段 不慌不忙 种 矛盾 不慌不忙 它 笑眯眯。
fill_RCfiller_205,fill,Filler_GibsonWu,205,RCfiller,,上次 被 卡车 撞了 的 那个 农夫 是 一个 在逃 的 非法移民。,X-X-X 呢 觉醒 嗡嗡 种 矛盾 谓语 种 研究 卵巢 把 拨乱反正。
fill_RCfiller_206,fill,Filler_GibsonWu,206,RCfiller,,早上 触怒了 美甲师 的 那位 发型师 在 和 有名的 演员 交往。,X-X-X 梁启超 愈来愈 种 纷纷 二十八 种 种 慢吞吞 缺乏 岗位。
fill_RCfiller_207,fill,Filler_GibsonWu,207,RCfiller,,工会 奖励了 今天 被 水电工 赞美 的 那个 木匠。,X-X-X 黑猩猩 解决 呢 说清楚 词典 种 矛盾 辗转。
fill_RCfiller_208,fill,Filler_GibsonWu,208,RCfiller,,被 美国银行 上周 雇用 的 那位 会计师 向 律师 打招呼。,X-X-X 血液循环 畸形 身躯 种 纷纷 谭嗣同 呢 隐蔽 叶倩倩。
